,STATION,TIME,ENTRIES,EXITS,ENTRIES_COUNT,EXITS_COUNT,FTRAFFIC
0,1 AV,Fri Aft,198884106.36363637,150701815.04242423,607.2727272727273,565.2848484848485,1172.5575757575757
1,1 AV,Fri Mor,195538877.23333332,152010957.92222223,332.5888888888889,444.22222222222223,776.8111111111111
2,1 AV,Mon Aft,197209593.2611111,174366666.82777777,462.00555555555553,443.25,905.2555555555556
3,1 AV,Mon Mor,197208749.18333334,174365864.03333333,249.98888888888888,330.8,580.7888888888889
4,1 AV,Sat Aft,194272317.60540542,172005251.46486485,406.0,420.8,826.8
5,1 AV,Sat Mor,197205847.2111111,174362708.0388889,145.09444444444443,184.68333333333334,329.77777777777777
6,1 AV,Sun Aft,197207975.88333333,174364935.12777779,335.35555555555555,384.73333333333335,720.0888888888888
7,1 AV,Sun Mor,197207389.0111111,174364301.10555556,106.76666666666667,131.51666666666668,238.28333333333333
8,1 AV,Thu Aft,195537608.18888888,152009554.16111112,588.8388888888888,555.9,1144.7388888888888
9,1 AV,Thu Mor,197472953.89944133,164102157.98324022,348.463687150838,440.25698324022346,788.7206703910615
10,1 AV,Tue Aft,197211671.5388889,174368806.18333334,579.7055555555555,533.6444444444444,1113.35
11,1 AV,Tue Mor,186355482.815,165643699.32,302.185,411.09,713.275
12,1 AV,Wed Aft,197471692.94972068,164100808.0837989,605.7988826815642,546.3351955307263,1152.1340782122904
13,1 AV,Wed Mor,197150974.795,169444961.355,311.685,411.11,722.795
14,103 ST,Fri Aft,9986361.253968254,38135560.0952381,524.4166666666666,307.42857142857144,831.8452380952381
15,103 ST,Fri Mor,9964277.070921985,41816388.15602837,577.0780141843971,283.5248226950355,860.6028368794326
16,103 ST,Mon Aft,9959289.774074074,39685081.8037037,430.2925925925926,250.43703703703704,680.7296296296296
17,103 ST,Mon Mor,9933425.234042553,38213815.411347516,390.15602836879435,167.96453900709218,558.1205673758865
18,103 ST,Sat Aft,9993776.379182156,39830991.32342008,366.9814126394052,212.18215613382898,579.1635687732341
19,103 ST,Sat Mor,10030287.440298507,39979080.7761194,146.47014925373134,80.5223880597015,226.99253731343285
20,103 ST,Sun Aft,9958081.06557377,45697895.96721312,277.08852459016396,154.2622950819672,431.35081967213114
21,103 ST,Sun Mor,9947042.471428571,38454982.97857143,94.32142857142857,53.892857142857146,148.21428571428572
22,103 ST,Thu Aft,9969262.968992248,37365997.09689923,529.6666666666666,299.0736434108527,828.7403100775193
23,103 ST,Thu Mor,9964204.055555556,43381358.209876545,522.2901234567901,245.47530864197532,767.7654320987655
24,103 ST,Tue Aft,9961368.82962963,39686463.981481485,522.8629629629629,306.1740740740741,829.0370370370371
25,103 ST,Tue Mor,9960598.74074074,39686027.31111111,566.1481481481482,238.82962962962964,804.9777777777778
26,103 ST,Wed Aft,9967009.46511628,37364499.29457364,522.9806201550388,298.5658914728682,821.546511627907
27,103 ST,Wed Mor,9881746.861111112,45272683.027777776,439.01666666666665,182.8388888888889,621.8555555555556
28,103 ST-CORONA,Fri Aft,7384402.01754386,7161013.251461988,330.3625730994152,435.48538011695905,765.8479532163743
29,103 ST-CORONA,Fri Mor,7400002.796296297,7182818.432098766,723.6604938271605,118.24074074074075,841.9012345679013
30,103 ST-CORONA,Mon Aft,7391704.012345679,7177037.413580247,316.0925925925926,403.37654320987656,719.4691358024692
31,103 ST-CORONA,Mon Mor,7390955.783950618,7176430.259259259,588.3456790123457,101.85185185185185,690.1975308641976
32,103 ST-CORONA,Sat Aft,7388521.117283951,7174645.049382716,300.858024691358,324.95061728395063,625.8086419753087
33,103 ST-CORONA,Sat Mor,7387831.419753087,7174116.179012346,397.60493827160496,113.07407407407408,510.679012345679
34,103 ST-CORONA,Sun Aft,7415240.770186336,7214271.807453416,281.7639751552795,249.77639751552795,531.5403726708074
35,103 ST-CORONA,Sun Mor,7389170.969135802,7175403.166666667,261.05555555555554,94.3641975308642,355.41975308641975
36,103 ST-CORONA,Thu Aft,7398547.598765432,7181857.444444444,340.58024691358025,459.0,799.5802469135803
37,103 ST-CORONA,Thu Mor,7397716.882716049,7181176.864197531,723.3641975308642,115.4074074074074,838.7716049382716
38,103 ST-CORONA,Tue Aft,7393961.3271604935,7178569.512345679,335.537037037037,473.01851851851853,808.5555555555555
39,103 ST-CORONA,Tue Mor,7423271.59375,7221567.83125,737.5625,116.50625,854.06875
40,103 ST-CORONA,Wed Aft,7396263.432098766,7180218.925925926,339.61728395061726,477.1111111111111,816.7283950617284
41,103 ST-CORONA,Wed Mor,7395431.580246913,7179510.283950618,735.1296296296297,116.17283950617283,851.3024691358024
42,104 ST,Fri Aft,486869392.75974023,364757746.0,64.16233766233766,57.20779220779221,121.37012987012987
